# https://iopscience.iop.org/article/10.1086/509715/pdf - Torres 2007
# https://iopscience.iop.org/article/10.1086/379281/pdf - Hatzes et al. (2003)

# Index definitions:
# 0 - McDonald I (Hatzes+03)
# 1 - Various zero-point-corrected instruments (Torres+07)
# 2 - CFHT (Walker+92)
# 3 - McDonald II (Hatzes+03)
# 4 - McDonald III (Hatzes+03)
# 5 - Various zero-point-corrected instruments (Griffin+02)


Epoch[JD]    RV[m/s]      RV_err[m/s] InstrumentID

2447368.96570	550.00          19.00	0
2448824.96090	-192.72 	24.48	3
2448852.97330	-209.83 	20.32	3
2448853.91490	-212.64 	18.76	3
2448882.82730	-205.27 	12.96	3
2448901.79120	-225.14 	10.72	3
2448902.77640	-235.24 	18.78	3
2448943.74430	-246.38 	15.91	3
2448971.65710	-238.61 	18.23	3
2448973.61890	-205.78 	19.50	3
2449020.64010	-218.97 	13.72	3
2449220.97320	-167.29 	33.39	3
2449258.84840	-132.89 	17.28	3
2449286.79030	-181.63 	15.92	3
2449352.68040	-119.99 	18.05	3
2449380.58710	-97.26  	19.21	3
2449400.56560	-116.95 	17.10	3
2449587.88450	-68.05  	16.10	3
2449587.89070	-61.08  	17.55	3
2449615.88990	-72.07  	14.53	3
2449647.81280	-73.35  	10.00	3
2449670.71180	-28.25  	8.18	3
2449703.67830	-35.81  	12.40	3
2449734.58770	-28.56  	15.26	3
2449769.56390	-22.20  	11.46	3
2449917.93260	87.22   	12.25	3
2449946.92470	103.39  	36.52	3
2449963.85670	135.27  	20.53	3
2449993.83040	127.05  	16.89	3
2450093.62430	188.90  	8.42	3
2450124.60060	222.54  	8.77	3
2450292.89080	351.62  	13.65	3
2450354.80070	389.66  	9.85	3
2450409.73630	394.82  	14.13	3
2450480.65300	420.67  	15.16	3
2450700.89950	556.24	    16.33	3
2450768.80080	575.22  	14.58	3
2450834.60490	650.27  	12.11   3
2451010.89596944   11273.0     4.5  4
2451010.90078441   11278.0     4.5  4
2451065.84687651   11318.1     4.9  4
2451152.61196277   11392.6     5.2  4
2451212.59239847   11447.3     5.9  4
2451212.59635664   11446.7     5.4  4
2451239.56592609   11431.5     9.9  4
2451239.56991897   11458.5    12.3  4
2451417.91438151   11540.9     4.8  4
2451451.83987288   11549.0     5.1  4
2451503.65471849   11571.6     4.9  4
2451503.65842219   11566.1     5.1  4
2451503.66172081   11567.9     4.9  4
2451530.72057432   11580.7     5.1  4
2451556.62786627   11594.7     5.0  4
2451750.94340856   11722.1     4.6  4
2451775.87474150   11742.7     4.6  4
2451861.70521264   11840.2     6.2  4
2451861.70915711   11846.4     5.9  4
2451919.58841042   11846.4     4.9  4
2451946.71915611   11864.1     5.3  4
2452117.95451160   11983.7     4.9  4
2452221.84430545   12028.2     5.4  4
2452328.61179073   12054.6     4.8  4
2452472.95418420   12111.9     5.0  4
2452472.95748963   12101.9     5.3  4
2452473.95215821   12101.4     5.0  4
2452473.95535312   12100.0     4.9  4
2452492.88568701   12113.0     4.8  4
2452492.88755525   12106.4     4.4  4
2452493.85486507   12112.9     4.8  4
2452493.85673783   12104.5     4.8  4
2452494.92858681   12121.8     4.8  4
2452494.93022091   12120.2     4.7  4
2452495.91522372   12123.5     5.0  4
2452538.84452287   12143.0     5.2  4
2452538.84649030   12140.5     5.6  4
2452576.78165992   12167.8     4.8  4
2452599.63446565   12189.7     5.0  4
2452599.63703995   12189.3     5.1  4
2452621.71242406   12183.9     4.8  4
2452621.71477113   12186.6     5.0  4
2452839.93458459   12330.0     4.8  4
2452839.93739268   12329.3     4.9  4
2452930.84518154   12390.0     5.1  4
2452930.84709559   12388.0     4.8  4
2452958.69081525   12404.1     5.2  4
2452958.69424547   12404.9     5.7  4
2453067.57925311   12456.9     4.8  4
2453067.58394470   12454.3     4.8  4
2453067.58820412   12459.2     4.9  4
2453318.65565825   12513.8     5.0  4
2453318.66063584   12508.8     5.2  4
2453584.94862922   12632.4     5.0  4
2453584.95055187   12634.8     5.0  4
2453655.78435447   12657.0     4.8  4
2453655.78815978   12657.3     5.0  4
2453689.72961951   12684.1     5.3  4
2453746.67306840   12705.3     5.0  4
2453746.67619526   12709.1     4.9  4
2454732.85052284   13066.4     4.8  4
2454732.85267940   13070.8     4.7  4
2454732.85483295   13073.5     4.9  4
2454783.70178839   13074.9     5.1  4
2454783.70401618   13069.9     5.3  4
2454783.70582210   13075.5     5.3  4
2454783.70763287   13077.4     5.2  4
2455047.93624144   13126.7     6.0  4
2455047.93818839   13118.2     5.5  4
2455047.94135426   13118.9     5.6  4
2455102.81295555   13105.4     5.3  4
2455102.81426080   13107.3     5.2  4
2455102.81557508   13112.4     5.0  4
2455131.73097218   13115.9     5.6  4
2455131.73285219   13119.4     5.4  4
2455131.73469435   13118.9     5.8  4
2455131.73660145   13118.3     5.6  4
2455131.73851456   13118.7     5.7  4
2455173.71506850   13126.6     5.7  4
2455173.71721315   13119.0     5.7  4
2455173.71945560   13120.0     5.8  4
2455200.60884629   13121.0     7.3  4
2455200.61104912   13117.8     6.6  4
2455200.61335426   13125.5     6.5  4
2455399.63926959   13205.3     5.4  4
2455399.64112336   13205.8     5.2  4
