Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-08-27T09:13:50.938,5,-9.531047587987859E-5,2.684391262182518,FoVF,-0.720963176791172,0.7250091304113027,2456896.8857694305
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-10-04T04:23:20.773,1,0.0045550342189860085,2.041136646464939,FoVP,-0.6549218054878247,0.717930444403303,2456934.6854983647
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-10-04T06:09:54.977,5,-7.378068822894283E-4,2.0420337666078585,FoVF,-0.6563582423839011,0.7164164857803792,2456934.7595077287
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-11-12T15:14:22.285,3,9.52879620497883E-4,-0.0931431034191573,FoVP,0.5681123100956549,0.7076839364939531,2456974.1384025007
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-11-12T17:00:56.467,1,0.0059107137747785865,-0.09079866849533946,FoVF,0.5654105120076263,0.7097743578440222,2456974.2124097426
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-11-29T15:16:17.937,2,0.002389974790691196,0.9246600803959155,FoVP,-0.5618330145105757,0.7065659820043264,2456991.139749634
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2014-11-29T17:02:52.147,6,-0.002606099480062571,0.9270118982304701,FoVF,-0.564520289546749,0.7044466266208993,2456991.213756259
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-01-07T08:05:18.238,5,-0.002064308606168402,-1.211443492500163,FoVP,0.6407233398742199,0.6988697663710798,2457029.839699779
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-01-07T09:51:52.446,3,0.0033902334423177283,-1.2103849620523555,FoVF,0.6391571130492714,0.700469165217095,2457029.91370449
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-01-29T09:45:47.895,3,0.00248333485000305,-0.07496023123379968,FoVF,-0.6818829626244126,0.7047800582310279,2457051.908688355
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-03-04T07:22:00.630,7,-0.006289899394006057,-2.1709666011237525,FoVP,0.6995759228605356,0.7051088561033357,2457085.807396157
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-03-04T09:08:34.816,5,-0.001150078887786243,-2.1728245700524047,FoVF,0.7000092720427233,0.7046156945094978,2457085.8813998136
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-04-06T20:46:55.775,2,0.0052047269389662205,-1.2091604901897284,FoVF,-0.6434658632966309,0.70913575390263,2457119.3651156565
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-04-07T01:00:35.802,6,-0.0046156264365996074,-1.2173200495243448,FoVP,-0.6396671610213379,0.7122357982946461,2457119.541268051
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-05-05T12:57:14.032,7,-0.0064429474655698935,-3.133201784048,FoVP,0.5767811422226568,0.723839482304544,2457148.038317953
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-05-05T14:43:48.180,6,-0.002856332319581178,-3.1370788527786746,FoVF,0.5785581737754503,0.7223534294659855,2457148.112323393
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-06-16T18:34:42.808,4,-9.979934569025468E-4,-2.5348949473021296,FoVP,-0.6095342578689262,0.7231341406860641,2457190.2728008786
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-06-16T20:21:16.981,7,-0.004715979854047357,-2.5385383455531167,FoVF,-0.6079177755363425,0.7246384655054867,2457190.346808819
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-07-17T00:28:59.705,1,0.00451778827986684,1.7887723276732124,FoVP,0.678771051253028,0.7272271941887221,2457220.5196422543
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-08-19T00:10:15.308,6,-0.003739176537118896,2.81525315575379,FoVP,-0.7236371416249319,0.7245364402086291,2457253.507928588
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-09-24T05:28:26.900,5,-0.0033291423090233635,0.7067089054791529,FoVP,0.6841140984857748,0.7178041620881725,2457289.730380258
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-09-24T07:15:01.112,3,0.0019718471649540054,0.707331298965942,FoVF,0.6827142157174089,0.7189599990388618,2457289.8043900444
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-10-15T17:25:18.217,2,0.002969152434507592,1.8253214245443865,FoVP,-0.6279357886281497,0.7145186531922847,2457311.2288784944
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-10-15T19:11:52.425,6,-0.0022564172136846613,1.826695529105405,FoVF,-0.6297540498511801,0.7127275229571147,2457311.302887451
009,6.1930526788448805,1.3549536363716648,23:39:20.587,+77:37:59.249,2015-11-24T10:12:17.098,3,3.282876367921189E-4,-0.3135868065832573,FoVP,0.5638988441003905,0.7073142890619323,2457350.928673407
